Title,Year,Rated,Genre,Director,Actors,imdbRating
Jigsaw,2017,R,"Crime, Horror, Mystery","Michael Spierig, Peter Spierig","Matt Passmore, Tobin Bell, Callum Keith Rennie, Hannah Emily Anderson",6.1
Suburbicon,2017,R,"Crime, Drama, Mystery",George Clooney,"Steve Monroe, Gavin Wilde, Landon Gordon, Hope Banks",5.4
Thank You For Your Service,2017,R,"Biography, Drama, War",Jason Hall,"Haley Bennett, Miles Teller, Joe Cole, Amy Schumer",6.6
Geostorm,2017,PG-13,"Action, Sci-Fi, Thriller",Dean Devlin,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara",5.5
Same Kind Of Different As Me,2017,PG-13,Drama,Michael Carney,"Renée Zellweger, Jon Voight, Greg Kinnear, Djimon Hounsou",6.0
The Killing Of A Sacred Deer,2017,R,"Drama, Horror, Mystery",Yorgos Lanthimos,"Nicole Kidman, Colin Farrell, Alicia Silverstone, Barry Keoghan",7.7
Wonderstruck,2017,PG,"Drama, Family, Mystery",Todd Haynes,"Millicent Simmonds, Julianne Moore, Cory Michael Smith, James Urbaniak",6.9
The Foreigner,2017,R,"Action, Crime, Drama",Martin Campbell,"Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy",7.2
Happy Death Day,2017,PG-13,"Horror, Mystery, Thriller",Christopher Landon,"Jessica Rothe, Israel Broussard, Ruby Modine, Charles Aitken",6.6
Mother!,2017,R,"Drama, Horror, Mystery",Darren Aronofsky,"Jennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer",7.1
Blade Runner 2049,2017,R,"Mystery, Sci-Fi, Thriller",Denis Villeneuve,"Ryan Gosling, Dave Bautista, Robin Wright, Mark Arnold",8.4
The Mountain Between Us,2017,PG-13,"Action, Adventure, Drama",Hany Abu-Assad,"Idris Elba, Kate Winslet, Beau Bridges, Dermot Mulroney",6.3
My Little Pony: The Movie,2017,PG,"Animation, Adventure, Comedy",Jayson Thiessen,"Uzo Aduba, Ashleigh Ball, Adam Bengis, Emily Blunt",6.3
American Made,2017,R,"Action, Biography, Comedy",Doug Liman,"Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons",7.2
Flatliners,1990,R,"Drama, Horror, Sci-Fi",Joel Schumacher,"Kiefer Sutherland, Julia Roberts, Kevin Bacon, William Baldwin",6.6
Kingsman: The Golden Circle,2017,R,"Action, Adventure, Comedy",Matthew Vaughn,"Taron Egerton, Edward Holcroft, Gordon Alexander, Mark Strong",7.0
The Lego Ninjago Movie,2017,PG,"Animation, Action, Adventure","Charlie Bean, Paul Fisher, Bob Logan","Jackie Chan, Dave Franco, Fred Armisen, Kumail Nanjiani",6.1
Friend Request,2016,R,"Horror, Thriller",Simon Verhoeven,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan",5.4
American Assassin,2017,R,"Action, Thriller",Michael Cuesta,"Dylan O'Brien, Charlotte Vega, Christopher Bomford, Chris Webster",6.4
All I See Is You,2016,R,"Drama, Mystery",Marc Forster,"Blake Lively, Jason Clarke, Ahna O'Reilly, Miquel Fernández",5.4
It,2017,R,"Horror, Thriller",Andy Muschietti,"Jaeden Lieberher, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard",7.7
Home Again,2017,PG-13,"Comedy, Drama, Romance",Hallie Meyers-Shyer,"Reese Witherspoon, Michael Sheen, Candice Bergen, Pico Alexander",5.7
Polaroid,2015,N/A,"Short, Horror",Lars Klevberg,"Annika Witt, Thea Sofie Loch Næss, Anne Cloetta",7.4
All Saints,1998–2009,N/A,Drama,N/A,"Judith McGrath, Georgie Parker, John Howard, Martin Lynes",7.0
Tulip Fever,2017,R,"Drama, Romance",Justin Chadwick,"Alicia Vikander, Dane DeHaan, Jack O'Connell, Holliday Grainger",6.2
