Title,Year,Rated,Genre,Director,Actors,imdbRating
The Forest,2016,PG-13,"Horror, Mystery, Thriller",Jason Zada,"Natalie Dormer, Eoin Macken, Stephanie Vogt, Osamu Tanpopo",4.8
The Revenant,2015,R,"Adventure, Drama, History",Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter",8.0
13 Hours,2016,R,"Action, Drama, History",Michael Bay,"John Krasinski, James Badge Dale, Pablo Schreiber, David Denman",7.3
Norm of the North,2016,PG,"Animation, Adventure, Comedy",Trevor Wall,"Rob Schneider, Heather Graham, Ken Jeong, Bill Nighy",3.6
Ride Along 2,2016,PG-13,"Action, Comedy",Tim Story,"Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt",5.9
Where to Invade Next,2015,R,"Documentary, Comedy",Michael Moore,"Michael Moore, Johnny Fancelli, Christina Fancelli, Lorena Lardini",7.6
The 5th Wave,2016,PG-13,"Action, Adventure, Sci-Fi",J Blakeson,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders",5.2
The Boy,2016,PG-13,"Horror, Mystery, Thriller",William Brent Bell,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",6.0
Dirty Grandpa,2016,R,Comedy,Dan Mazer,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza",6.0
The Finest Hours,2016,PG-13,"Action, Drama, History",Craig Gillespie,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana",6.8
Jane Got a Gun,2015,R,"Action, Drama, Western",Gavin O'Connor,"Natalie Portman, Joel Edgerton, Ewan McGregor, Noah Emmerich",5.9
Kung Fu Panda 3,2016,PG,"Animation, Action, Adventure","Alessandro Carloni, Jennifer Yuh Nelson","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",7.1
The Choice,2016,PG-13,"Drama, Romance",Ross Katz,"Benjamin Walker, Teresa Palmer, Maggie Grace, Alexandra Daddario",6.6
"Hail, Caesar!",2016,PG-13,"Comedy, Mystery","Ethan Coen, Joel Coen","Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes",6.3
Pride and Prejudice and Zombies,2016,PG-13,"Action, Horror, Romance",Burr Steers,"Lily James, Sam Riley, Bella Heathcote, Ellie Bamber",5.8
Deadpool,2016,R,"Action, Adventure, Comedy",Tim Miller,"Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer",8.0
How to Be Single,2016,R,"Comedy, Romance",Christian Ditter,"Dakota Johnson, Rebel Wilson, Leslie Mann, Damon Wayans Jr.",6.1
Zoolander 2,2016,PG-13,Comedy,Ben Stiller,"Justin Bieber, Jon Daly, Penélope Cruz, Ben Stiller",4.7
Race,2016,PG-13,"Biography, Drama, Sport",Stephen Hopkins,"Stephan James, Jason Sudeikis, Eli Goree, Shanice Banton",7.1
Risen,2016,PG-13,"Action, Adventure, Drama",Kevin Reynolds,"Joseph Fiennes, Tom Felton, Peter Firth, Cliff Curtis",6.3
